football,West Texas.,1
football,Some where in Houston!,1
football,430 W. Vine Street,1
football,"Lanett, AL",2
football,Eastern Maine,1
football,"cedar falls, iowa",1
football,"Norwalk, IA",1
football,"Middletown, RI",1
football,"Cheyenne, WY",5
football,"Frisco, TX",9
